LGA_CODE_2021,G01_Tot_P_M,G01_Tot_P_F,G01_Age_0_4_yr_M,G01_Age_0_4_yr_F,G01_Age_0_4_yr_P,G01_Age_5_14_yr_M,G01_Age_5_14_yr_F,G01_Age_5_14_yr_P,G01_Age_15_19_yr_M,G01_Age_15_19_yr_F,G01_Age_15_19_yr_P,G01_Age_20_24_yr_M,G01_Age_20_24_yr_F,G01_Age_20_24_yr_P,G01_Age_25_34_yr_M,G01_Age_25_34_yr_F,G01_Age_25_34_yr_P,G01_Age_35_44_yr_M,G01_Age_35_44_yr_F,G01_Age_35_44_yr_P,G01_Age_45_54_yr_M,G01_Age_45_54_yr_F,G01_Age_45_54_yr_P,G01_Age_55_64_yr_M,G01_Age_55_64_yr_F,G01_Age_55_64_yr_P,G01_Age_65_74_yr_M,G01_Age_65_74_yr_F,G01_Age_65_74_yr_P,G01_Age_75_84_yr_M,G01_Age_75_84_yr_F,G01_Age_75_84_yr_P,G01_Age_85ov_M,G01_Age_85ov_F,G01_Age_85ov_P,G01_Indigenous_P_Tot_M,G01_Indigenous_P_Tot_F,G06_P_Tot_Marrd_reg_marrge,G06_P_Tot_Married_de_facto,G06_P_Tot_Not_married,G29_CF_ChU15_a_Total_F,G29_CF_no_ChU15_a_Total_F
LGA14100,6597,6962,279,306,582,942,790,1738,568,456,1027,401,306,704,505,494,996,694,846,1537,977,1040,2017,824,891,1714,701,800,1498,474,538,1009,232,507,734,38,30,5415,744,3759,1111,689
LGA14170,89169,93648,4665,4479,9148,8984,8568,17556,3854,3568,7422,5430,5854,11284,17010,18230,35238,15084,15448,30530,12756,13352,26101,9778,10065,19845,6640,7579,14219,3587,4317,7906,1385,2192,3569,1021,1141,52938,25284,63887,13874,5319
LGA14220,8780,9072,529,497,1026,1213,1186,2399,560,557,1116,485,425,909,953,1013,1971,897,937,1832,1046,1125,2171,1153,1210,2366,1101,1073,2170,671,758,1424,173,295,471,956,1017,5677,1483,5226,1098,477
LGA14300,3664,2756,166,162,331,370,352,721,178,138,322,240,132,371,585,303,890,542,289,840,495,347,844,461,408,868,371,352,719,207,187,391,48,81,125,432,161,1939,449,1651,386,172
LGA14350,15426,15262,817,732,1548,1743,1783,3528,890,809,1694,787,669,1447,1614,1448,3062,1528,1487,3017,1755,1818,3570,2320,2451,4773,2436,2307,4743,1203,1240,2444,342,525,863,2013,1946,9204,2842,9760,1585,824
LGA14400,11220,11851,608,547,1149,1381,1266,2647,636,639,1281,517,442,954,969,1026,1992,1173,1309,2485,1324,1444,2763,1625,1810,3436,1738,1857,3597,976,1012,1988,281,494,777,259,272,9803,1807,5790,1711,926
LGA14500,59850,64222,2917,2681,5602,9522,9027,18548,4692,4432,9124,3642,3324,6968,4521,4808,9330,7462,8974,16439,8846,9985,18833,7416,7814,15230,5472,6239,11713,3697,4454,8150,1663,2479,4138,153,144,56649,4811,33058,12535,7083
LGA14550,4648,4708,203,198,402,536,545,1084,244,235,480,162,153,314,352,365,710,437,468,907,533,631,1167,929,879,1811,840,742,1588,328,344,675,88,140,228,259,268,2945,921,2981,474,242
LGA14600,3046,3048,194,202,398,476,424,898,170,144,316,122,140,267,332,379,710,346,331,678,341,367,706,417,402,818,371,318,687,201,213,412,69,126,199,521,590,1896,515,1594,448,141
LGA14650,104311,109529,6133,5832,11966,13784,13007,26797,6355,5992,12340,6080,5571,11654,11790,12372,24165,12523,13276,25799,13119,13652,26769,13044,14240,27279,11928,13227,25149,7161,8460,15618,2390,3909,6305,5859,5899,77901,18646,65170,16284,8325
