LGA_CODE_2021,Gender,Gender Value,Age - Male,Age - Male Value,Age - Female,Age - Female Value,Age - Person,Age - Person Value,Indigenous Gender,Indigenous Gender Value,Relationship Type,Relationship Type Value,Couple Family Kids Y N,Couple Family Kids Y N Value
LGA32750,Female,120.0,,,,,,,,,,,,
LGA32770,Female,690.0,,,,,,,,,,,,
LGA32810,Female,6069.0,,,,,,,,,,,,
LGA33100,Female,333.0,,,,,,,,,,,,
LGA33200,Female,764.0,,,,,,,,,,,,
LGA33220,Female,56697.0,,,,,,,,,,,,
LGA33360,Female,31301.0,,,,,,,,,,,,
LGA33430,Female,321659.0,,,,,,,,,,,,
LGA33610,Female,5144.0,,,,,,,,,,,,
LGA33620,Female,26833.0,,,,,,,,,,,,
LGA33800,Female,5365.0,,,,,,,,,,,,
LGA33830,Female,472.0,,,,,,,,,,,,
LGA33960,Female,115979.0,,,,,,,,,,,,
LGA33980,Female,9663.0,,,,,,,,,,,,
LGA34420,Female,554.0,,,,,,,,,,,,
LGA34530,Female,19139.0,,,,,,,,,,,,
LGA34570,Female,304.0,,,,,,,,,,,,
LGA34580,Female,20714.0,,,,,,,,,,,,
LGA34590,Female,174777.0,,,,,,,,,,,,
LGA34710,Female,1848.0,,,,,,,,,,,,
LGA34770,Female,60494.0,,,,,,,,,,,,
LGA34800,Female,380.0,,,,,,,,,,,,
LGA34830,Female,216.0,,,,,,,,,,,,
LGA34860,Female,6424.0,,,,,,,,,,,,
LGA34880,Female,10772.0,,,,,,,,,,,,
LGA35010,Female,243506.0,,,,,,,,,,,,
LGA35250,Female,530.0,,,,,,,,,,,,
LGA35300,Female,9072.0,,,,,,,,,,,,
LGA35600,Female,2056.0,,,,,,,,,,,,
LGA35670,Female,447.0,,,,,,,,,,,,
LGA35740,Female,28958.0,,,,,,,,,,,,
LGA35760,Female,4967.0,,,,,,,,,,,,
LGA35780,Female,1429.0,,,,,,,,,,,,
LGA35790,Female,1092.0,,,,,,,,,,,,
LGA35800,Female,850.0,,,,,,,,,,,,
LGA36070,Female,304.0,,,,,,,,,,,,
LGA36150,Female,345.0,,,,,,,,,,,,
LGA36250,Female,81498.0,,,,,,,,,,,,
LGA36300,Female,374.0,,,,,,,,,,,,
LGA36370,Female,41482.0,,,,,,,,,,,,
LGA36510,Female,21719.0,,,,,,,,,,,,
LGA36580,Female,12410.0,,,,,,,,,,,,
LGA36630,Female,16495.0,,,,,,,,,,,,
LGA36660,Female,18435.0,,,,,,,,,,,,
LGA36720,Female,177877.0,,,,,,,,,,,,
LGA36820,Female,13289.0,,,,,,,,,,,,
LGA36910,Female,89379.0,,,,,,,,,,,,
LGA36950,Female,1715.0,,,,,,,,,,,,
LGA36960,Female,2078.0,,,,,,,,,,,,
LGA37010,Female,96560.0,,,,,,,,,,,,
LGA37300,Female,1938.0,,,,,,,,,,,,
LGA37310,Female,16679.0,,,,,,,,,,,,
LGA37340,Female,18031.0,,,,,,,,,,,,
LGA37400,Female,580.0,,,,,,,,,,,,
LGA37550,Female,545.0,,,,,,,,,,,,
LGA37570,Female,154.0,,,,,,,,,,,,
LGA37600,Female,1286.0,,,,,,,,,,,,
LGA39499,Female,6807.0,,,,,,,,,,,,
LGA39799,Female,28.0,,,,,,,,,,,,
LGA40070,Female,12259.0,,,,,,,,,,,,
LGA40120,Female,20603.0,,,,,,,,,,,,
LGA40150,Female,4702.0,,,,,,,,,,,,
LGA40220,Female,14707.0,,,,,,,,,,,,
LGA40250,Female,1264.0,,,,,,,,,,,,
LGA40310,Female,12710.0,,,,,,,,,,,,
LGA40430,Female,1287.0,,,,,,,,,,,,
LGA40520,Female,5267.0,,,,,,,,,,,,
LGA40700,Female,24048.0,,,,,,,,,,,,
LGA40910,Female,28201.0,,,,,,,,,,,,
LGA41010,Female,1730.0,,,,,,,,,,,,
LGA41060,Female,62438.0,,,,,,,,,,,,
LGA41140,Female,4660.0,,,,,,,,,,,,
LGA41190,Female,839.0,,,,,,,,,,,,
LGA41330,Female,672.0,,,,,,,,,,,,
LGA41560,Female,7598.0,,,,,,,,,,,,
LGA41750,Female,474.0,,,,,,,,,,,,
LGA41830,Female,836.0,,,,,,,,,,,,
LGA41960,Female,618.0,,,,,,,,,,,,
LGA42030,Female,12916.0,,,,,,,,,,,,
LGA42110,Female,2003.0,,,,,,,,,,,,
LGA42250,Female,3881.0,,,,,,,,,,,,
LGA42600,Female,19619.0,,,,,,,,,,,,
LGA42750,Female,2363.0,,,,,,,,,,,,
LGA43080,Female,463.0,,,,,,,,,,,,
LGA43220,Female,494.0,,,,,,,,,,,,
LGA43360,Female,1154.0,,,,,,,,,,,,
LGA43650,Female,7850.0,,,,,,,,,,,,
LGA43710,Female,2792.0,,,,,,,,,,,,
LGA43790,Female,5789.0,,,,,,,,,,,,
LGA44000,Female,53.0,,,,,,,,,,,,
LGA44060,Female,49101.0,,,,,,,,,,,,
LGA44210,Female,4306.0,,,,,,,,,,,,
LGA44340,Female,34730.0,,,,,,,,,,,,
LGA44550,Female,20125.0,,,,,,,,,,,,
LGA44620,Female,13942.0,,,,,,,,,,,,
LGA44830,Female,1413.0,,,,,,,,,,,,
LGA45040,Female,10784.0,,,,,,,,,,,,
LGA45090,Female,4177.0,,,,,,,,,,,,
LGA45120,Female,2249.0,,,,,,,,,,,,
LGA45290,Female,19424.0,,,,,,,,,,,,
LGA45340,Female,89418.0,,,,,,,,,,,,
LGA45400,Female,446.0,,,,,,,,,,,,
LGA45540,Female,817.0,,,,,,,,,,,,
LGA45680,Female,50119.0,,,,,,,,,,,,
LGA45890,Female,66350.0,,,,,,,,,,,,
LGA46090,Female,6685.0,,,,,,,,,,,,
LGA46300,Female,7331.0,,,,,,,,,,,,
LGA46450,Female,8771.0,,,,,,,,,,,,
LGA46510,Female,11150.0,,,,,,,,,,,,
LGA46670,Female,4854.0,,,,,,,,,,,,
LGA46860,Female,781.0,,,,,,,,,,,,
LGA46970,Female,1813.0,,,,,,,,,,,,
LGA47140,Female,72789.0,,,,,,,,,,,,
LGA47290,Female,950.0,,,,,,,,,,,,
LGA47490,Female,1045.0,,,,,,,,,,,,
LGA47630,Female,3303.0,,,,,,,,,,,,
LGA47700,Female,51419.0,,,,,,,,,,,,
LGA47800,Female,2604.0,,,,,,,,,,,,
LGA47910,Female,1429.0,,,,,,,,,,,,
LGA47980,Female,20362.0,,,,,,,,,,,,
LGA48050,Female,8556.0,,,,,,,,,,,,
LGA48130,Female,3347.0,,,,,,,,,,,,
LGA48260,Female,4265.0,,,,,,,,,,,,
LGA48340,Female,5877.0,,,,,,,,,,,,
LGA48410,Female,31416.0,,,,,,,,,,,,
LGA48540,Female,10574.0,,,,,,,,,,,,
LGA48640,Female,581.0,,,,,,,,,,,,
LGA48750,Female,2933.0,,,,,,,,,,,,
LGA48830,Female,5629.0,,,,,,,,,,,,
LGA49399,Female,1275.0,,,,,,,,,,,,
LGA49499,Female,1506.0,,,,,,,,,,,,
LGA49799,Female,0.0,,,,,,,,,,,,
LGA50080,Female,19732.0,,,,,,,,,,,,
LGA50210,Female,47583.0,,,,,,,,,,,,
LGA50250,Female,3096.0,,,,,,,,,,,,
LGA50280,Female,8400.0,,,,,,,,,,,,
LGA50350,Female,8135.0,,,,,,,,,,,,
LGA50420,Female,34900.0,,,,,,,,,,,,
LGA50490,Female,20846.0,,,,,,,,,,,,
LGA50560,Female,834.0,,,,,,,,,,,,
LGA50630,Female,822.0,,,,,,,,,,,,
LGA50770,Female,914.0,,,,,,,,,,,,
LGA50840,Female,2649.0,,,,,,,,,,,,
LGA50910,Female,455.0,,,,,,,,,,,,
LGA50980,Female,8706.0,,,,,,,,,,,,
LGA51080,Female,525.0,,,,,,,,,,,,
LGA51120,Female,476.0,,,,,,,,,,,,
LGA51190,Female,16790.0,,,,,,,,,,,,
LGA51260,Female,20894.0,,,,,,,,,,,,
LGA51310,Female,14807.0,,,,,,,,,,,,
LGA51330,Female,47844.0,,,,,,,,,,,,
LGA51400,Female,9287.0,,,,,,,,,,,,
LGA51470,Female,261.0,,,,,,,,,,,,
LGA51540,Female,2520.0,,,,,,,,,,,,
LGA51610,Female,750.0,,,,,,,,,,,,
LGA51680,Female,2924.0,,,,,,,,,,,,
LGA51710,Female,685.0,,,,,,,,,,,,
LGA51750,Female,5909.0,,,,,,,,,,,,
LGA51820,Female,59910.0,,,,,,,,,,,,
LGA51860,Female,292.0,,,,,,,,,,,,
LGA51890,Female,4347.0,,,,,,,,,,,,
LGA51960,Female,1601.0,,,,,,,,,,,,
LGA52030,Female,482.0,,,,,,,,,,,,
LGA52100,Female,505.0,,,,,,,,,,,,
LGA52170,Female,4027.0,,,,,,,,,,,,
LGA52240,Female,532.0,,,,,,,,,,,,
LGA52310,Female,426.0,,,,,,,,,,,,
LGA52380,Female,73.0,,,,,,,,,,,,
LGA52450,Female,618.0,,,,,,,,,,,,
LGA52520,Female,660.0,,,,,,,,,,,,
LGA52590,Female,1567.0,,,,,,,,,,,,
LGA52660,Female,7406.0,,,,,,,,,,,,
LGA52730,Female,3226.0,,,,,,,,,,,,
LGA52800,Female,3510.0,,,,,,,,,,,,
LGA52870,Female,3112.0,,,,,,,,,,,,
LGA52940,Female,337.0,,,,,,,,,,,,
LGA53010,Female,323.0,,,,,,,,,,,,
LGA53080,Female,305.0,,,,,,,,,,,,
LGA53150,Female,4102.0,,,,,,,,,,,,
LGA53220,Female,3504.0,,,,,,,,,,,,
LGA53290,Female,6891.0,,,,,,,,,,,,
LGA53360,Female,1476.0,,,,,,,,,,,,
LGA53430,Female,16419.0,,,,,,,,,,,,
LGA53570,Female,2660.0,,,,,,,,,,,,
LGA53640,Female,564.0,,,,,,,,,,,,
LGA53710,Female,470.0,,,,,,,,,,,,
LGA53780,Female,62887.0,,,,,,,,,,,,
LGA53800,Female,19992.0,,,,,,,,,,,,
LGA53920,Female,1789.0,,,,,,,,,,,,
LGA53990,Female,14286.0,,,,,,,,,,,,
LGA54060,Female,1851.0,,,,,,,,,,,,
LGA54130,Female,541.0,,,,,,,,,,,,
LGA54170,Female,80810.0,,,,,,,,,,,,
LGA54200,Female,29654.0,,,,,,,,,,,,
LGA54280,Female,13864.0,,,,,,,,,,,,
LGA54310,Female,10166.0,,,,,,,,,,,,
LGA54340,Female,1970.0,,,,,,,,,,,,
LGA54410,Female,554.0,,,,,,,,,,,,
LGA54480,Female,219.0,,,,,,,,,,,,
LGA54550,Female,921.0,,,,,,,,,,,,
LGA54620,Female,388.0,,,,,,,,,,,,
LGA54690,Female,159.0,,,,,,,,,,,,
LGA54760,Female,373.0,,,,,,,,,,,,
LGA54830,Female,22379.0,,,,,,,,,,,,
LGA54900,Female,582.0,,,,,,,,,,,,
LGA54970,Female,419.0,,,,,,,,,,,,
LGA55040,Female,606.0,,,,,,,,,,,,
LGA55110,Female,46934.0,,,,,,,,,,,,
LGA55180,Female,4522.0,,,,,,,,,,,,
LGA55250,Female,485.0,,,,,,,,,,,,
LGA55320,Female,53880.0,,,,,,,,,,,,
LGA55390,Female,128.0,,,,,,,,,,,,
LGA55460,Female,1517.0,,,,,,,,,,,,
LGA55530,Female,185.0,,,,,,,,,,,,
LGA55600,Female,1133.0,,,,,,,,,,,,
LGA55670,Female,327.0,,,,,,,,,,,,
LGA55740,Female,4818.0,,,,,,,,,,,,
LGA55810,Female,290.0,,,,,,,,,,,,
LGA55880,Female,219.0,,,,,,,,,,,,
LGA55950,Female,265.0,,,,,,,,,,,,
LGA56090,Female,18832.0,,,,,,,,,,,,
LGA56160,Female,50.0,,,,,,,,,,,,
LGA56230,Female,9090.0,,,,,,,,,,,,
LGA56300,Female,751.0,,,,,,,,,,,,
LGA56370,Female,371.0,,,,,,,,,,,,
LGA56460,Female,2427.0,,,,,,,,,,,,
LGA56580,Female,11211.0,,,,,,,,,,,,
LGA56620,Female,697.0,,,,,,,,,,,,
LGA56730,Female,5619.0,,,,,,,,,,,,
LGA56790,Female,1522.0,,,,,,,,,,,,
LGA56860,Female,120.0,,,,,,,,,,,,
LGA56930,Female,912.0,,,,,,,,,,,,
LGA57000,Female,239.0,,,,,,,,,,,,
LGA57080,Female,13471.0,,,,,,,,,,,,
LGA57140,Female,502.0,,,,,,,,,,,,
LGA57210,Female,2610.0,,,,,,,,,,,,
LGA57280,Female,7449.0,,,,,,,,,,,,
LGA57350,Female,504.0,,,,,,,,,,,,
LGA57420,Female,987.0,,,,,,,,,,,,
LGA57490,Female,68591.0,,,,,,,,,,,,
LGA57630,Female,37.0,,,,,,,,,,,,
LGA57700,Female,16102.0,,,,,,,,,,,,
LGA57770,Female,507.0,,,,,,,,,,,,
LGA57840,Female,22163.0,,,,,,,,,,,,
LGA57910,Female,116500.0,,,,,,,,,,,,
LGA57980,Female,9044.0,,,,,,,,,,,,
LGA58050,Female,76981.0,,,,,,,,,,,,
LGA58190,Female,172.0,,,,,,,,,,,,
LGA58260,Female,274.0,,,,,,,,,,,,
LGA58330,Female,2229.0,,,,,,,,,,,,
LGA58400,Female,137.0,,,,,,,,,,,,
LGA58470,Female,79.0,,,,,,,,,,,,
LGA58510,Female,18477.0,,,,,,,,,,,,
LGA58540,Female,381.0,,,,,,,,,,,,
LGA58570,Female,18293.0,,,,,,,,,,,,
LGA58610,Female,869.0,,,,,,,,,,,,
LGA58680,Female,250.0,,,,,,,,,,,,
LGA58760,Female,106304.0,,,,,,,,,,,,
LGA58820,Female,2120.0,,,,,,,,,,,,
LGA58890,Female,362.0,,,,,,,,,,,,
LGA59030,Female,125.0,,,,,,,,,,,,
LGA59100,Female,329.0,,,,,,,,,,,,
LGA59170,Female,500.0,,,,,,,,,,,,
LGA59250,Female,189.0,,,,,,,,,,,,
LGA59310,Female,601.0,,,,,,,,,,,,
LGA59320,Female,210.0,,,,,,,,,,,,
LGA59330,Female,227.0,,,,,,,,,,,,
LGA59340,Female,3775.0,,,,,,,,,,,,
LGA59350,Female,101.0,,,,,,,,,,,,
LGA59360,Female,439.0,,,,,,,,,,,,
LGA59370,Female,1731.0,,,,,,,,,,,,
LGA59499,Female,3416.0,,,,,,,,,,,,
LGA59799,Female,58.0,,,,,,,,,,,,
LGA60210,Female,3312.0,,,,,,,,,,,,
LGA60410,Female,9787.0,,,,,,,,,,,,
LGA60610,Female,10313.0,,,,,,,,,,,,
LGA60810,Female,11770.0,,,,,,,,,,,,
LGA61010,Female,1146.0,,,,,,,,,,,,
LGA61210,Female,3942.0,,,,,,,,,,,,
LGA61410,Female,31548.0,,,,,,,,,,,,
LGA61510,Female,5446.0,,,,,,,,,,,,
LGA61610,Female,13563.0,,,,,,,,,,,,
LGA61810,Female,3450.0,,,,,,,,,,,,
LGA62010,Female,446.0,,,,,,,,,,,,
LGA62210,Female,3481.0,,,,,,,,,,,,
LGA62410,Female,2436.0,,,,,,,,,,,,
LGA62610,Female,25552.0,,,,,,,,,,,,
LGA62810,Female,28277.0,,,,,,,,,,,,
LGA63010,Female,9160.0,,,,,,,,,,,,
